                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95081,                 3.8454,                 1.2864,                0.10857,                 0.1778,                0.06125,                0.04926,                0.70454,                 2.8417,                 1.1109,              0.0033313,              0.0033313,              0.0033313
                      2,                0.92926,                 3.0118,                 1.2385,                 0.1978,                0.23698,                0.08985,                0.06827,                  0.832,                 2.7366,                 1.1741,              0.0065987,              0.0065987,              0.0065987
                      3,                 1.0595,                 2.9849,                 1.3078,                0.16667,                0.21159,                0.08206,                0.05981,                 0.9705,                 2.8306,                 1.2895,                 0.0098,                 0.0098,                 0.0098
                      4,                 1.1424,                 3.0507,                 1.3629,                0.21154,                0.19054,                0.08808,                0.06642,                0.94984,                 2.7081,                 1.2764,               0.009703,               0.009703,               0.009703
                      5,                 1.1162,                 2.9467,                 1.3468,                0.14899,                0.20415,                0.09743,                0.07106,                0.98235,                 2.7365,                 1.3407,               0.009703,               0.009703,               0.009703
                      6,                 1.0737,                 2.8467,                 1.3228,                0.20559,                0.28196,                0.14964,                0.11361,                0.86414,                 2.4273,                 1.2014,               0.009604,               0.009604,               0.009604
                      7,                 1.0266,                 2.7418,                 1.2952,                0.16095,                0.28163,                0.16686,                0.12821,                0.82982,                 2.3699,                 1.1939,               0.009505,               0.009505,               0.009505
                      8,                 1.0029,                 2.6612,                 1.2835,                0.19018,                 0.3164,                0.18429,                0.14646,                0.78997,                 2.2907,                 1.1574,               0.009406,               0.009406,               0.009406
                      9,                 0.9731,                 2.5681,                 1.2598,                0.31544,                0.30414,                0.21703,                0.17271,                0.76059,                 2.1667,                 1.1374,               0.009307,               0.009307,               0.009307
                     10,                0.94297,                 2.5203,                 1.2423,                0.30772,                0.31756,                0.26067,                 0.2104,                0.75057,                  2.106,                  1.134,               0.009208,               0.009208,               0.009208
                     11,                0.92866,                 2.4531,                 1.2301,                0.26908,                0.34207,                0.27548,                0.22477,                0.72459,                 2.0423,                 1.1116,               0.009109,               0.009109,               0.009109
                     12,                0.92041,                 2.3971,                 1.2264,                0.28318,                0.36609,                0.29416,                0.23766,                0.71462,                 2.0213,                 1.1062,                0.00901,                0.00901,                0.00901
                     13,                0.90171,                 2.3447,                 1.2158,                 0.3573,                0.40048,                0.31922,                0.26003,                0.69155,                 1.9354,                 1.0898,               0.008911,               0.008911,               0.008911
                     14,                0.87792,                 2.2882,                 1.2023,                0.30016,                0.39139,                0.33393,                0.27451,                0.68668,                 1.9161,                 1.0764,               0.008812,               0.008812,               0.008812
                     15,                0.86828,                 2.2412,                 1.1897,                0.34372,                0.41148,                0.37317,                0.31583,                0.64947,                  1.842,                 1.0541,               0.008713,               0.008713,               0.008713
                     16,                0.86112,                 2.2122,                 1.1863,                0.35525,                0.43479,                0.37252,                0.31449,                0.65272,                 1.8302,                 1.0602,               0.008614,               0.008614,               0.008614
                     17,                0.84321,                  2.151,                 1.1756,                0.39108,                  0.433,                0.39803,                0.33344,                0.65595,                 1.7701,                 1.0628,               0.008515,               0.008515,               0.008515
                     18,                0.84442,                 2.1241,                 1.1768,                0.42223,                0.42556,                 0.4205,                 0.3532,                0.63658,                 1.7134,                 1.0504,               0.008416,               0.008416,               0.008416
                     19,                0.81741,                  2.075,                 1.1573,                0.47327,                0.41502,                0.43678,                0.37068,                0.62598,                 1.6885,                 1.0329,               0.008317,               0.008317,               0.008317
                     20,                 0.8151,                 2.0224,                 1.1573,                0.44937,                0.46294,                0.47435,                0.39842,                0.62466,                 1.6086,                  1.039,               0.008218,               0.008218,               0.008218
                     21,                0.80511,                 1.9864,                 1.1544,                0.45061,                0.47837,                0.47626,                0.40429,                0.61099,                  1.612,                 1.0315,               0.008119,               0.008119,               0.008119
