                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97729,                 3.8243,                  1.252,                0.09162,                0.16318,                0.04661,                0.03777,                0.70098,                 3.0333,                  1.089,              0.0033316,              0.0033316,              0.0033316
                      2,                0.96817,                 3.0126,                 1.2224,                0.19191,                0.18617,                0.06887,                0.05288,                 0.8349,                 2.9679,                  1.159,              0.0066319,              0.0066319,              0.0066319
                      3,                 1.0908,                 2.9901,                 1.2859,                0.15539,                0.18845,                0.06725,                0.04989,                0.95744,                 2.9844,                 1.2569,              0.0098993,              0.0098993,              0.0098993
                      4,                 1.1719,                 3.0684,                 1.3373,                 0.1702,                0.16228,                0.06378,                0.04755,                 1.0173,                 2.9968,                  1.326,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1463,                 2.9652,                 1.3175,                0.14639,                0.17471,                0.09097,                0.06815,                0.91132,                   2.85,                 1.2329,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.0962,                 2.8261,                  1.292,                0.17232,                0.22144,                0.09838,                0.07461,                0.91104,                  2.713,                 1.2302,               0.009802,               0.009802,               0.009802
                      7,                 1.0618,                 2.7482,                 1.2703,                0.17083,                0.26472,                0.11996,                0.09279,                0.81937,                 2.6296,                 1.1679,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.0232,                 2.6401,                  1.247,                0.25222,                0.28729,                0.16047,                 0.1284,                0.77823,                 2.4419,                 1.1403,               0.009703,               0.009703,               0.009703
                      9,                0.99935,                 2.5789,                 1.2309,                0.20825,                0.26162,                0.17335,                 0.1429,                0.77226,                  2.404,                 1.1248,              0.0096535,              0.0096535,              0.0096535
                     10,                0.97419,                 2.5157,                 1.2131,                 0.2596,                0.29937,                0.18941,                0.15457,                0.76385,                 2.3962,                 1.1278,               0.009604,               0.009604,               0.009604
                     11,                0.95438,                 2.4506,                  1.206,                 0.3353,                0.28388,                0.21475,                0.17949,                0.72778,                  2.314,                 1.1077,              0.0095545,              0.0095545,              0.0095545
                     12,                0.93548,                 2.3921,                 1.1901,                0.22024,                0.31567,                0.21592,                0.18009,                0.72413,                 2.3058,                 1.0992,               0.009505,               0.009505,               0.009505
                     13,                0.92578,                 2.3429,                 1.1854,                0.25697,                0.33316,                0.24197,                0.19906,                0.69869,                 2.2352,                 1.0874,              0.0094555,              0.0094555,              0.0094555
                     14,                0.91504,                 2.3005,                 1.1787,                0.25176,                0.36696,                0.26732,                0.22365,                0.67713,                 2.1222,                 1.0683,               0.009406,               0.009406,               0.009406
                     15,                0.90191,                 2.2538,                 1.1695,                0.32369,                0.35444,                0.28502,                0.23968,                0.67442,                 2.0725,                 1.0664,              0.0093565,              0.0093565,              0.0093565
                     16,                0.87892,                 2.2115,                 1.1623,                0.30346,                0.35941,                0.28264,                0.23952,                0.66301,                 2.0728,                 1.0557,               0.009307,               0.009307,               0.009307
                     17,                0.86503,                 2.1513,                 1.1522,                0.30082,                0.38138,                0.30001,                0.25432,                0.65294,                 2.0475,                 1.0423,              0.0092575,              0.0092575,              0.0092575
                     18,                0.86691,                 2.1295,                 1.1511,                0.32225,                0.39934,                0.32028,                0.27383,                 0.6382,                  1.961,                 1.0346,               0.009208,               0.009208,               0.009208
                     19,                 0.8474,                 2.0734,                 1.1385,                 0.3419,                 0.3927,                0.32982,                0.28353,                0.63623,                 1.9517,                 1.0354,              0.0091585,              0.0091585,              0.0091585
                     20,                0.84545,                 2.0502,                 1.1343,                0.39899,                0.41802,                0.35718,                0.30497,                0.62529,                 1.9107,                 1.0279,               0.009109,               0.009109,               0.009109
                     21,                0.83326,                 2.0109,                 1.1321,                0.38723,                0.43452,                0.36959,                0.32038,                0.61501,                 1.8807,                 1.0156,              0.0090595,              0.0090595,              0.0090595
                     22,                0.83114,                 1.9735,                 1.1277,                0.36928,                0.41887,                0.37042,                0.31991,                0.60344,                  1.847,                 1.0141,                0.00901,                0.00901,                0.00901
                     23,                0.81876,                 1.9436,                  1.125,                0.37747,                0.43578,                0.36952,                0.32051,                0.60022,                 1.8569,                 1.0123,              0.0089605,              0.0089605,              0.0089605
                     24,                0.81081,                  1.919,                 1.1191,                0.41497,                0.42932,                0.38894,                0.33775,                0.59083,                 1.7998,                 1.0048,               0.008911,               0.008911,               0.008911
                     25,                0.80786,                 1.8829,                 1.1136,                0.43591,                0.42625,                0.40628,                 0.3525,                0.58674,                 1.7901,                 1.0038,              0.0088615,              0.0088615,              0.0088615
                     26,                0.80254,                 1.8459,                 1.1163,                0.40534,                0.45621,                0.40962,                0.35926,                0.57527,                 1.7942,                0.99166,               0.008812,               0.008812,               0.008812
                     27,                0.79841,                 1.8268,                 1.1075,                0.43399,                0.45192,                 0.4246,                0.36858,                0.58026,                    1.7,                0.99599,              0.0087625,              0.0087625,              0.0087625
                     28,                0.78321,                 1.7829,                 1.1057,                  0.487,                0.43157,                0.42639,                0.37093,                0.57436,                  1.741,                0.99754,               0.008713,               0.008713,               0.008713
                     29,                0.78379,                 1.7779,                 1.1051,                0.42906,                0.49748,                0.44408,                0.38843,                0.56029,                  1.689,                0.98733,              0.0086635,              0.0086635,              0.0086635
                     30,                0.77974,                  1.733,                 1.0992,                0.44315,                0.49617,                0.45314,                 0.4014,                0.55124,                 1.6683,                0.98275,               0.008614,               0.008614,               0.008614
                     31,                 0.7827,                 1.7191,                 1.1022,                0.49106,                 0.4655,                0.45128,                0.39944,                0.55641,                 1.6585,                0.98116,              0.0085645,              0.0085645,              0.0085645
                     32,                0.76845,                 1.6859,                 1.0933,                0.46198,                0.52616,                0.47662,                0.42107,                0.54851,                 1.6317,                  0.975,               0.008515,               0.008515,               0.008515
                     33,                0.77133,                 1.6657,                 1.0947,                0.47974,                0.50443,                0.48695,                0.42992,                0.54386,                 1.6055,                0.97247,              0.0084655,              0.0084655,              0.0084655
                     34,                0.75764,                 1.6342,                 1.0854,                0.50435,                0.51505,                0.49126,                0.43703,                0.53385,                 1.5529,                0.96718,               0.008416,               0.008416,               0.008416
                     35,                0.75982,                 1.6183,                 1.0877,                0.53306,                 0.5104,                0.50095,                0.44414,                0.53524,                 1.5668,                0.96331,              0.0083665,              0.0083665,              0.0083665
                     36,                0.74975,                 1.5899,                 1.0788,                0.51371,                0.55853,                0.52043,                0.46157,                0.52814,                 1.5204,                0.96821,               0.008317,               0.008317,               0.008317
                     37,                0.75019,                 1.5776,                 1.0823,                0.51408,                 0.5485,                0.51871,                0.46144,                0.52364,                  1.525,                0.96581,              0.0082675,              0.0082675,              0.0082675
                     38,                0.74249,                 1.5442,                 1.0748,                0.54046,                0.53116,                0.52295,                0.46334,                0.53837,                 1.5137,                0.97121,               0.008218,               0.008218,               0.008218
                     39,                0.74372,                 1.5262,                 1.0768,                0.51491,                0.58417,                0.53011,                0.47259,                 0.5212,                 1.4865,                0.95931,              0.0081685,              0.0081685,              0.0081685
                     40,                0.73442,                 1.5169,                 1.0733,                0.56366,                0.53893,                0.53055,                0.47397,                0.50895,                 1.4896,                0.95481,               0.008119,               0.008119,               0.008119
                     41,                0.73802,                 1.4837,                 1.0736,                0.58186,                0.54033,                0.55051,                0.49201,                0.51621,                 1.4584,                0.95368,              0.0080695,              0.0080695,              0.0080695
                     42,                0.72681,                 1.4656,                 1.0669,                0.54422,                0.59881,                0.54779,                0.49167,                0.51023,                  1.459,                0.95387,                0.00802,                0.00802,                0.00802
                     43,                0.72873,                 1.4552,                 1.0677,                0.55632,                0.58782,                0.55389,                0.49538,                0.50773,                 1.4533,                0.94863,              0.0079705,              0.0079705,              0.0079705
